Date,AAPL,AMZN,GOOGL,MSFT,TSLA,^GSPC
2024-06-11,205.37098693847656,187.22999572753906,175.37322998046875,425.9853210449219,170.66000366210938,5375.31982421875
2024-06-12,211.2401580810547,186.88999938964844,176.53501892089844,434.2356262207031,177.2899932861328,5421.02978515625
2024-06-13,212.4000701904297,183.8300018310547,173.92356872558594,434.74761962890625,182.47000122070312,5433.740234375
2024-06-14,210.6651153564453,183.66000366210938,175.54205322265625,435.7223205566406,178.00999450683594,5431.60009765625
2024-06-17,214.80923461914062,184.05999755859375,175.9888916015625,441.43255615234375,187.44000244140625,5473.22998046875
2024-06-18,212.44964599609375,182.80999755859375,173.85403442382812,439.4339904785156,184.86000061035156,5487.02978515625
2024-06-20,207.87925720214844,186.10000610351562,175.05551147460938,438.80389404296875,181.57000732421875,5473.169921875
2024-06-21,205.70806884765625,189.0800018310547,178.36199951171875,442.82073974609375,183.00999450683594,5464.6201171875
2024-06-24,206.3524627685547,185.57000732421875,177.95489501953125,440.743408203125,182.5800018310547,5447.8701171875
2024-06-25,207.27450561523438,186.33999633789062,182.73094177246094,443.9726257324219,187.35000610351562,5469.2998046875
2024-06-26,211.41860961914062,193.61000061035156,182.58201599121094,445.1639404296875,196.3699951171875,5477.89990234375
2024-06-27,212.2613067626953,197.85000610351562,184.10121154785156,445.84320068359375,197.4199981689453,5482.8701171875
2024-06-28,208.8112030029297,193.25,180.8642120361328,440.0345153808594,197.8800048828125,5460.47998046875
2024-07-01,214.8885498046875,197.1999969482422,181.6982879638672,449.6632385253906,209.86000061035156,5475.08984375
2024-07-02,218.37832641601562,200.0,183.93238830566406,452.1737365722656,231.25999450683594,5509.009765625
2024-07-03,219.64732360839844,197.58999633789062,184.50830078125,453.64068603515625,246.38999938964844,5537.02001953125
2024-07-05,224.3961639404297,200.0,189.25457763671875,460.3255615234375,251.52000427246094,5567.18994140625
2024-07-08,225.86346435546875,199.2899932861328,187.69564819335938,459.0260314941406,252.94000244140625,5572.85009765625
2024-07-09,226.71609497070312,199.33999633789062,187.64601135253906,452.4296875,262.3299865722656,5576.97998046875
2024-07-10,230.97914123535156,199.7899932861328,189.8304443359375,459.0359191894531,263.260009765625,5633.91015625
2024-07-11,225.6156463623047,195.0500030517578,184.26007080078125,447.66461181640625,241.02999877929688,5584.5400390625
2024-07-12,228.5601043701172,194.49000549316406,183.76361083984375,446.5324401855469,248.22999572753906,5615.35009765625
2024-07-15,232.38694763183594,192.72000122070312,185.2133026123047,446.93603515625,252.63999938964844,5631.22021484375
2024-07-16,232.80335998535156,193.02000427246094,182.6217041015625,442.56475830078125,256.55999755859375,5667.2001953125
2024-07-17,226.9143829345703,187.92999267578125,179.74220275878906,436.6575622558594,248.5,5588.27001953125
2024-07-18,222.25473022460938,183.75,176.43568420410156,433.55633544921875,249.22999572753906,5544.58984375
2024-07-19,222.38360595703125,183.1300048828125,176.40589904785156,430.3467712402344,239.1999969482422,5505.0
2024-07-22,222.03662109375,182.5500030517578,180.38758850097656,436.0865783691406,251.50999450683594,5564.41015625
2024-07-23,223.07760620117188,186.41000366210938,180.5067596435547,437.967041015625,246.3800048828125,5555.740234375
2024-07-24,216.66314697265625,180.8300018310547,171.41140747070312,422.2638244628906,215.99000549316406,5427.1298828125
2024-07-25,215.62217712402344,179.85000610351562,166.0991668701172,411.92620849609375,220.25,5399.22021484375
